Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune Cell Lung Mouse	2/51	0.9675036565097053	0.9999956375987203	0	0	0.37145957117024025	0.01227156615872256	PTAFR;TLR2
Enteroendocrine Cell Intestinal Crypt Mouse	7/124	0.9675483265607964	0.9999956375987203	0	0	0.5438066727406828	0.017940130685262633	NEUROD1;TPBG;C2CD4B;SSTR1;INSM1;TCEAL9;NEUROG3
Krt4/13+ Cell Trachea Mouse	7/124	0.9675483265607964	0.9999956375987203	0	0	0.5438066727406828	0.017940130685262633	FOXQ1;PAQR8;JUND;SOWAHB;TREX2;TACSTD2;CALML3
B Cell Stomach Human	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	ACKR2
Natural Killer Cell Stomach Human	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	ALDH1B1
Cancer Cell Lung Human	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	INSM1
Ciliated Cell Lung Mouse	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	SOX2
Smooth Muscle Cell Lung Mouse	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	ENC1
Lake Et al.Science.Ex6 Brain Human	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	LRRC3B
M2 Macrophage Lung Human	1/33	0.9678582717709128	0.9999956375987203	0	0	0.2845236589068826	0.009295278646642162	SOCS3
Oligodendrocyte Precursor Cell Brain Mouse	4/83	0.9697259799000174	0.9999956375987203	0	0	0.4604951657502871	0.014156423735396963	G0S2;OLIG1;OLIG2;PHLDA1
Monocyte Blood Human	2/52	0.9702353129528625	0.9999956375987203	0	0	0.3640101265822785	0.010999165219807273	TMEM119;MPEG1
T Cell Lung Human	2/52	0.9702353129528625	0.9999956375987203	0	0	0.3640101265822785	0.010999165219807273	CXCR6;CCR4
Basal Cell Trachea Mouse	5/98	0.9708211005471844	0.9999956375987203	0	0	0.4888329080241663	0.014475843197153835	TACSTD2;SFN;JUNB;PHLDA3;HSPA1A
Monocyte Bone Marrow Human	1/34	0.971040514967809	0.9999956375987203	0	0	0.27588639430744694	0.008107497352634269	MAFB
Natural Killer Cell Bone Marrow Human	1/34	0.971040514967809	0.9999956375987203	0	0	0.27588639430744694	0.008107497352634269	FGFBP2
Prehypertrophic Chondrocyte Articular Cartilage Human	1/34	0.971040514967809	0.9999956375987203	0	0	0.27588639430744694	0.008107497352634269	SOX11
Cancer Cell Lymph Human	1/35	0.9739078142856458	0.9999956375987203	0	0	0.2677572040962134	0.007079132669704536	S1PR2
Cancer Stem Cell Breast Human	1/35	0.9739078142856458	0.9999956375987203	0	0	0.2677572040962134	0.007079132669704536	SOX2
T Cell Undefined Mouse	1/35	0.9739078142856458	0.9999956375987203	0	0	0.2677572040962134	0.007079132669704536	CCR5
Macrophage Bone Marrow Mouse	1/35	0.9739078142856458	0.9999956375987203	0	0	0.2677572040962134	0.007079132669704536	TMEM119
Myeloid Cell Lung Mouse	2/54	0.9750492424345623	0.9999956375987203	0	0	0.3499707887049659	0.008842818378810654	PTAFR;TLR2
Pit Progenitor Cell Stomach Human	2/54	0.9750492424345623	0.9999956375987203	0	0	0.3499707887049659	0.008842818378810654	ALDH1B1;RTL5
Morula Cell (Blastomere) Embryo Mouse	1/36	0.9764913247358655	0.9999956375987203	0	0	0.2600925390399075	0.006187448762834207	GJA1
Fibroblast Skin Human	1/36	0.9764913247358655	0.9999956375987203	0	0	0.2600925390399075	0.006187448762834207	TRIL
Fibroblast Stomach Human	1/36	0.9764913247358655	0.9999956375987203	0	0	0.2600925390399075	0.006187448762834207	ISLR
Natural Killer Cell Blood Human	2/56	0.9791059809630913	0.9999956375987203	0	0	0.33697140178152835	0.007115281895959483	JUN;FGFBP2
Specialist Antigen Presenting Cell Undefined Human	1/38	0.9809165025563481	0.9999956375987203	0	0	0.24600612758507495	0.004740030730456616	TLR2
Lake Et al.Science.Ex8 Brain Human	2/58	0.9825199440664917	0.9999956375987203	0	0	0.3249005424954792	0.005729502848736614	RNF152;CREB5
Pericyte Lung Mouse	1/39	0.9828062654079108	0.9999956375987203	0	0	0.2395189644150863	0.0041540404643580775	ZBTB43
Lymphoid Cell Undefined Human	1/39	0.9828062654079108	0.9999956375987203	0	0	0.2395189644150863	0.0041540404643580775	CCR4
Alpha Cell Pancreatic Islet Human	4/91	0.9831863841467844	0.9999956375987203	0	0	0.4179643579122755	0.007087241614229102	VGF;GPR119;HTR1F;FAM110B
Stem Cell Bone Marrow Mouse	3/77	0.9853655610311828	0.9999956375987203	0	0	0.3686231824529697	0.005434456281847121	SOX2;BASP1;SMIM6
T Cell Brain Human	1/41	0.9860430739341863	0.9999956375987203	0	0	0.2275177125506073	0.0031978160091143825	CCR4
Granulosa Cell Fetal Gonad Human	10/179	0.9861835991841538	0.9999956375987203	0	0	0.5370867840071235	0.007472346444087923	DIRAS3;LRRN3;CEBPD;PNMA1;HILPDA;RHOG;PLAC1;SPRY1;RPP25;RPP25L
MKI67+ Progenitor Cell Large Intestine Human	5/110	0.9873210147971011	0.9999956375987203	0	0	0.43267651888341546	0.0055209737868257445	CLDN5;FOXC1;RHOH;CLEC14A;GIMAP7
B Cell Blood Human	1/42	0.9874253106332321	0.9999956375987203	0	0	0.22195615680853165	0.002808726400788338	JUNB
Plasmacytoid Dendritic cell(pDC) Nasopharynx Human	1/42	0.9874253106332321	0.9999956375987203	0	0	0.22195615680853165	0.002808726400788338	MPEG1
Fibroblast Lung Human	1/42	0.9874253106332321	0.9999956375987203	0	0	0.22195615680853165	0.002808726400788338	TWIST2
Macrophage Brain Mouse	2/62	0.987798077096318	0.9999956375987203	0	0	0.3031729957805907	0.0037220480570084504	CCR1;P2RY12
Secretory Cell Trachea Mouse	2/63	0.9888525708482946	0.9999956375987203	0	0	0.2981863457148786	0.003342677100107524	FGFBP1;FUT9
1-Cell Stage Cell (Blastomere) Embryo Human	1/44	0.9897927631824107	0.9999956375987203	0	0	0.21160907635815837	0.00217104307704368	BLCAP
Epithelial Cell Undefined Human	1/44	0.9897927631824107	0.9999956375987203	0	0	0.21160907635815837	0.00217104307704368	RNF186
Microglial Cell Embryonic Prefrontal Cortex Human	33/476	0.9908161029574989	0.9999956375987203	0	0	0.6736476883203746	0.006215295215120255	CEBPA;CEBPD;PTAFR;ADRB2;PNMA1;NEUROD6;NRIP1;C3AR1;SMIM30;TNFAIP8L2;SOCS6;JUNB;IER2;SOX4;P2RY12;CCR1;JUN;GPR34;RNASE6;RHOG;SOX11;MPEG1;RHOB;LPAR5;LPAR6;GPR183;B3GNT5;TMEM119;TLR10;KCTD12;OTUD1;HSPA1B;HSPA1A
Astrocyte Embryonic Prefrontal Cortex Human	22/343	0.9914070899504922	0.9999956375987203	0	0	0.6205734955501908	0.005355575310979985	PAQR8;JUN;KCNJ10;LRRN3;LRRC10B;TRIL;KCNE5;SOX11;PRSS35;SOX2;GJA1;SLITRK2;TCIM;NEUROD6;CDC42EP4;S1PR1;SPRY2;SMIM30;SPRY1;LRRC3B;SOX4;MYORG
Type IB Spiral Ganglion Neuron Brain Mouse	1/46	0.9917145792403842	0.9999956375987203	0	0	0.2021817363922627	0.0016821390338152941	TPBGL
Schwalie Et al.Nature.P1 Adipose Tissue Mouse	9/174	0.9917363409639833	0.9999956375987203	0	0	0.49495565410199555	0.00410713822786638	TMEM100;ISLR;TMEM158;BASP1;LRRN4CL;ACKR3;ACKR2;SOD3;CREB5
Trophectoderm Cell Embryo Human	4/101	0.9921453975359561	0.9999956375987203	0	0	0.3746662416854338	0.0029544727391463423	BASP1;CITED4;TACSTD2;GRHL2
Bergmann Glial Cell Brain Mouse	1/47	0.9925352299777574	0.9999956375987203	0	0	0.19777547966907236	0.0014818863492088046	PAQR8
